ID_artist,ID_artist_original,gender,geo_ID_FK
1,ART82291002,M,1
2,ART53496045,M,2
3,ART18853907,M,3
4,ART64265460,F,4
5,ART75741740,M,1
6,ART24123617,M,5
7,ART40229749,F,6
8,ART56320683,M,7
9,ART02666525,F,8
10,ART95365016,M,4
11,ART27304446,M,9
12,ART70825116,M,10
13,ART67409252,F,11
14,ART71969350,M,12
15,ART81071062,M,1
16,ART78209349,M,13
17,ART85821920,M,1
18,ART59609037,M,1
19,ART46851094,M,14
20,ART63985757,M,4
21,ART96068455,M,1
22,ART52349448,F,1
23,ART14383873,M,7
24,ART09119396,M,15
25,ART86549066,M,16
26,ART57616402,M,17
27,ART19729064,M,7
28,ART76284946,M,7
29,ART14073567,F,4
30,ART25707984,M,18
31,ART07024718,M,7
32,ART46711784,M,19
33,ART31005348,M,20
34,ART52465778,M,20
35,ART85046033,M,21
36,ART87162895,M,22
37,ART83125571,M,7
38,ART73965015,M,12
39,ART79325822,M,7
40,ART04141409,M,4
41,ART91515842,M,23
42,ART59593021,F,4
43,ART08177154,M,21
44,ART57730937,M,21
45,ART17812958,M,7
46,ART80977821,M,7
47,ART88792008,M,7
48,ART88199433,F,4
49,ART07469279,M,1
50,ART88423027,F,24
51,ART39344115,M,25
52,ART05528539,M,22
53,ART20729624,F,26
54,ART40433104,M,27
55,ART16868977,M,7
56,ART61734477,M,26
57,ART02733420,M,28
58,ART63613967,M,29
59,ART37807199,M,4
60,ART43601431,F,4
61,ART51628788,F,4
62,ART48537029,M,30
63,ART91352277,M,7
64,ART71846481,M,31
65,ART86576759,M,32
66,ART52272796,M,33
67,ART07629990,M,18
68,ART19060721,M,7
69,ART78358659,M,26
70,ART07127070,M,21
71,ART42220690,M,1
72,ART12092805,M,34
73,ART66932389,M,21
74,ART87389753,F,35
75,ART08456301,M,21
76,ART89596800,M,7
77,ART17240256,M,10
78,ART08302616,M,36
79,ART04205421,M,37
80,ART74676403,F,7
81,ART02449272,F,38
82,ART48622722,M,23
83,ART56967402,M,1
84,ART87497821,M,39
85,ART98307962,M,40
86,ART26418649,M,20
87,ART64850829,M,41
88,ART41225226,M,1
89,ART28717687,M,23
90,ART22979236,M,1
91,ART85780419,M,3
92,ART88026810,M,42
93,ART51721248,M,43
94,ART57242110,M,21
95,ART98118784,M,44
96,ART15560128,M,45
97,ART57587384,M,20
98,ART71515715,F,1
99,ART83631935,M,22
