ID_time,year,month,day,day_of_week,season
1,2021,4,2,Friday,2
2,2020,3,6,Friday,2
3,2021,2,19,Friday,1
4,2019,3,8,Friday,2
5,2020,5,29,Friday,2
6,2020,5,21,Thursday,2
7,2020,4,17,Friday,2
8,2023,2,8,Wednesday,1
9,2022,6,3,Friday,3
10,2019,6,7,Friday,3
11,2019,2,7,Thursday,1
12,2019,4,16,Tuesday,2
13,2020,3,13,Friday,2
14,2019,9,20,Friday,4
15,2019,1,14,Monday,1
16,2025,5,16,Friday,2
17,2018,6,15,Friday,3
18,2019,7,10,Wednesday,3
19,2020,1,17,Friday,1
20,2020,10,2,Friday,4
21,2023,5,19,Friday,2
22,2019,12,30,Monday,1
23,2024,6,21,Friday,3
24,2020,12,25,Friday,1
25,2022,11,4,Friday,4
26,2019,8,13,Tuesday,3
27,2020,4,7,Tuesday,2
28,2024,3,1,Friday,2
29,2018,12,20,Thursday,1
30,2018,12,5,Wednesday,1
31,2018,11,12,Monday,4
32,2020,1,24,Friday,1
33,2020,6,10,Wednesday,3
34,2015,11,17,Tuesday,4
35,2015,9,7,Monday,4
36,2025,5,2,Friday,2
37,2015,11,26,Thursday,4
38,2015,11,22,Sunday,4
39,2015,11,2,Monday,4
40,2016,1,27,Wednesday,1
41,2025,5,22,Thursday,2
42,2015,11,29,Sunday,4
43,2025,5,5,Monday,2
44,2018,12,11,Tuesday,1
45,2018,3,6,Tuesday,2
46,2019,5,24,Friday,2
47,2021,5,28,Friday,2
48,2016,10,24,Monday,4
49,2019,2,13,Wednesday,1
50,2018,2,14,Wednesday,1
51,2021,10,22,Friday,4
52,2017,10,13,Friday,4
53,2024,5,10,Friday,2
54,2019,10,2,Wednesday,4
55,2018,6,7,Thursday,3
56,2018,6,22,Friday,3
57,2018,4,23,Monday,2
58,2017,3,13,Monday,2
59,2019,1,10,Thursday,1
60,2021,4,30,Friday,2
61,2020,11,12,Thursday,4
62,2019,12,13,Friday,1
63,2020,7,24,Friday,3
64,2024,6,14,Friday,3
65,2021,9,10,Friday,4
66,2022,6,24,Friday,3
67,2020,3,15,Sunday,2
68,2024,2,23,Friday,1
69,2020,6,24,Wednesday,3
70,2015,11,13,Friday,4
71,2019,12,2,Monday,1
72,2025,2,7,Friday,1
73,2024,4,5,Friday,2
74,2020,5,7,Thursday,2
75,2025,4,4,Friday,2
76,2023,7,28,Friday,3
77,2024,10,18,Friday,4
78,2017,9,10,Sunday,4
79,2025,5,9,Friday,2
80,2024,3,6,Wednesday,2
81,2019,3,19,Tuesday,2
82,2020,7,16,Thursday,3
83,2023,9,29,Friday,4
84,2023,5,12,Friday,2
85,2018,4,26,Thursday,2
86,2019,10,11,Friday,4
87,2021,5,14,Friday,2
88,2021,4,22,Thursday,2
89,2024,2,7,Wednesday,1
90,2019,11,29,Friday,4
91,2018,3,8,Thursday,2
92,2025,5,30,Friday,2
93,2024,2,16,Friday,1
94,2017,10,14,Saturday,4
95,2018,10,8,Monday,4
96,2021,4,19,Monday,2
97,2021,9,1,Wednesday,4
98,2019,1,17,Thursday,1
99,2022,3,4,Friday,2
100,2024,10,16,Wednesday,4
101,2022,3,25,Friday,2
102,2022,1,31,Monday,1
103,2023,2,24,Friday,1
104,2022,6,10,Friday,3
105,2022,11,28,Monday,4
106,2019,11,20,Wednesday,4
107,2019,6,19,Wednesday,3
108,2020,5,19,Tuesday,2
109,2020,3,14,Saturday,2
110,2022,10,7,Friday,4
111,2016,8,9,Tuesday,3
112,2021,4,1,Thursday,2
113,2022,7,27,Wednesday,3
114,2016,9,16,Friday,4
115,2019,4,29,Monday,2
116,2017,8,14,Monday,3
117,2016,2,5,Friday,1
118,2019,4,10,Wednesday,2
119,2021,12,25,Saturday,1
120,2022,4,7,Thursday,2
121,2019,3,23,Saturday,2
122,2019,11,8,Friday,4
123,2018,11,30,Friday,4
124,2019,11,15,Friday,4
125,2020,7,31,Friday,3
126,2019,5,3,Friday,2
127,2018,6,8,Friday,3
128,2018,2,9,Friday,1
129,2017,9,26,Tuesday,4
130,2022,7,15,Friday,3
131,2022,9,30,Friday,4
132,2024,12,13,Friday,1
133,2023,3,17,Friday,2
134,2018,5,17,Thursday,2
135,2022,9,23,Friday,4
136,2020,4,23,Thursday,2
137,2023,12,15,Friday,1
138,2020,3,20,Friday,2
139,2023,9,7,Thursday,4
140,2019,12,7,Saturday,1
141,2020,9,8,Tuesday,4
142,2023,10,31,Tuesday,4
143,2021,4,4,Sunday,2
144,2023,7,3,Monday,3
145,2016,12,24,Saturday,1
146,2018,10,31,Wednesday,4
147,2020,10,31,Saturday,4
148,2019,7,11,Thursday,3
149,2020,10,3,Saturday,4
150,2018,4,1,Sunday,2
151,2020,9,19,Saturday,4
152,2023,11,17,Friday,4
153,2016,11,17,Thursday,4
154,2021,2,18,Thursday,1
155,2024,9,6,Friday,4
156,2019,5,30,Thursday,2
157,2021,1,9,Saturday,1
158,2016,12,13,Tuesday,1
159,2015,7,25,Saturday,3
160,2018,4,11,Wednesday,2
161,2023,1,13,Friday,1
162,2020,11,26,Thursday,4
163,2020,9,16,Wednesday,4
164,2020,11,9,Monday,4
165,2017,5,2,Tuesday,2
166,2017,10,31,Tuesday,4
167,2017,1,23,Monday,1
168,2020,10,22,Thursday,4
169,2016,9,2,Friday,4
170,2022,4,8,Friday,2
171,2020,10,21,Wednesday,4
172,2024,3,26,Tuesday,2
173,2017,3,11,Saturday,2
174,2023,11,4,Saturday,4
175,2025,5,23,Friday,2
176,2018,6,14,Thursday,3
177,2025,4,10,Thursday,2
178,2022,11,30,Wednesday,4
179,2023,9,1,Friday,4
180,2023,5,5,Friday,2
181,2024,7,5,Friday,3
182,2022,9,9,Friday,4
183,2022,9,5,Monday,4
184,2024,9,20,Friday,4
185,2019,3,1,Friday,2
186,2024,2,27,Tuesday,1
187,2017,4,7,Friday,2
188,2020,7,17,Friday,3
189,2019,9,27,Friday,4
190,2024,9,13,Friday,4
191,2019,10,4,Friday,4
192,2017,4,4,Tuesday,2
193,2017,4,14,Friday,2
194,2019,2,21,Thursday,1
195,2018,7,13,Friday,3
196,2016,12,12,Monday,1
197,2022,3,9,Wednesday,2
198,2017,10,20,Friday,4
199,2020,7,1,Wednesday,3
200,2017,2,27,Monday,1
201,2019,2,12,Tuesday,1
202,2016,8,16,Tuesday,3
203,2018,3,21,Wednesday,2
204,2024,11,27,Wednesday,4
205,2023,3,31,Friday,2
206,2022,12,16,Friday,1
207,2017,1,30,Monday,1
208,2014,12,29,Monday,1
209,2017,8,8,Tuesday,3
210,2016,12,5,Monday,1
211,2016,7,25,Monday,3
212,2016,12,30,Friday,1
213,2022,5,27,Friday,2
214,2017,2,16,Thursday,1
215,2023,4,17,Monday,2
216,2020,4,21,Tuesday,2
217,2021,10,19,Tuesday,4
218,2022,5,5,Thursday,2
219,2016,11,25,Friday,4
220,2017,10,12,Thursday,4
221,2019,12,25,Wednesday,1
222,2014,12,5,Friday,1
223,2017,12,18,Monday,1
224,2020,11,25,Wednesday,4
225,2021,12,31,Friday,1
226,2012,4,29,Sunday,2
227,2013,7,12,Friday,3
228,2012,11,5,Monday,4
229,2020,10,12,Monday,4
230,2012,10,28,Sunday,4
231,2012,6,17,Sunday,3
232,2017,3,31,Friday,2
233,2012,1,20,Friday,1
234,2020,3,28,Saturday,2
235,2020,4,6,Monday,2
236,2025,6,6,Friday,3
237,2012,8,27,Monday,3
238,2015,1,19,Monday,1
239,2017,4,28,Friday,2
240,2017,5,19,Friday,2
241,2019,6,14,Friday,3
242,2020,7,10,Friday,3
243,2017,11,20,Monday,4
244,2018,5,25,Friday,2
245,2013,9,17,Tuesday,4
246,2017,3,17,Friday,2
247,2021,3,26,Friday,2
248,2021,2,26,Friday,1
249,2023,6,2,Friday,3
250,2018,4,27,Friday,2
251,2020,7,2,Thursday,3
252,2019,2,8,Friday,1
253,2016,2,22,Monday,1
254,2023,5,4,Thursday,2
255,2020,12,11,Friday,1
256,2019,5,17,Friday,2
257,2020,4,30,Thursday,2
258,2023,6,6,Tuesday,3
259,2013,9,21,Saturday,4
260,2015,1,27,Tuesday,1
261,2017,3,9,Thursday,2
262,2021,5,12,Wednesday,2
263,2024,4,19,Friday,2
264,2022,6,30,Thursday,3
265,2013,5,13,Monday,2
266,2023,11,22,Wednesday,4
267,2016,3,3,Thursday,2
268,2025,4,18,Friday,2
269,2017,10,3,Tuesday,4
270,2016,11,14,Monday,4
271,2025,4,11,Friday,2
272,2019,8,30,Friday,3
273,2022,1,14,Friday,1
274,2025,5,29,Thursday,2
275,2018,10,16,Tuesday,4
276,2010,10,12,Tuesday,4
277,2006,6,28,Wednesday,3
278,2004,1,1,Thursday,1
279,2017,9,27,Wednesday,4
280,2008,4,15,Tuesday,2
281,2017,9,21,Thursday,4
282,2011,7,16,Saturday,3
283,2017,9,29,Friday,4
284,2020,8,15,Saturday,3
285,2013,12,21,Saturday,1
286,2012,6,19,Tuesday,3
287,2015,7,2,Thursday,3
288,2025,1,31,Friday,1
289,2017,5,26,Friday,2
290,2012,5,11,Friday,2
291,2015,9,25,Friday,4
292,2016,12,3,Saturday,1
293,2008,3,15,Saturday,2
294,2019,8,9,Friday,3
295,2024,9,17,Tuesday,4
296,2024,5,17,Friday,2
297,2023,4,21,Friday,2
298,2023,2,9,Thursday,1
299,2023,7,14,Friday,3
300,2025,1,24,Friday,1
301,2025,3,7,Friday,2
302,2024,1,25,Thursday,1
303,2023,11,10,Friday,4
304,2022,2,16,Wednesday,1
305,2024,7,17,Wednesday,3
306,2022,6,17,Friday,3
307,2024,10,11,Friday,4
308,2021,12,15,Wednesday,1
309,2025,3,28,Friday,2
310,2017,6,30,Friday,3
311,2020,6,26,Friday,3
312,2013,6,4,Tuesday,3
313,2021,4,9,Friday,2
314,2015,6,23,Tuesday,3
315,2018,9,14,Friday,4
316,2011,6,10,Friday,3
317,2021,12,10,Friday,1
318,2015,11,25,Wednesday,4
319,2018,9,7,Friday,4
320,2017,9,22,Friday,4
321,2017,4,21,Friday,2
322,2025,1,10,Friday,1
323,2019,6,5,Wednesday,3
324,2020,6,11,Thursday,3
325,2015,5,5,Tuesday,2
326,2013,4,23,Tuesday,2
327,2020,12,16,Wednesday,1
328,2017,6,2,Friday,3
329,2015,5,26,Tuesday,2
330,2019,6,21,Friday,3
331,2011,6,14,Tuesday,3
332,2015,6,16,Tuesday,3
333,2021,4,28,Wednesday,2
334,2015,7,23,Thursday,3
335,2011,5,20,Friday,2
336,2018,11,29,Thursday,4
337,2015,11,27,Friday,4
338,2013,4,5,Friday,2
339,2020,11,27,Friday,4
340,2018,6,1,Friday,3
341,2018,4,6,Friday,2
342,2018,2,16,Friday,1
343,2009,10,11,Sunday,4
344,2018,11,22,Thursday,4
345,2005,4,11,Monday,2
346,2013,5,10,Friday,2
347,2013,11,26,Tuesday,4
348,2019,5,14,Tuesday,2
349,2017,12,15,Friday,1
350,2025,5,21,Wednesday,2
351,2010,11,15,Monday,4
352,2015,11,6,Friday,4
353,2013,10,30,Wednesday,4
354,2008,10,9,Thursday,4
355,2004,4,30,Friday,2
356,2018,2,23,Friday,1
357,2012,3,20,Tuesday,2
358,2005,1,1,Saturday,1
359,2017,4,5,Wednesday,2
360,2024,2,26,Monday,1
361,2013,11,18,Monday,4
362,2017,11,12,Sunday,4
363,2017,2,24,Friday,1
364,2017,3,24,Friday,2
365,2018,2,1,Thursday,1
366,2020,7,3,Friday,3
367,2012,11,26,Monday,4
368,2015,4,1,Wednesday,2
369,2014,6,9,Monday,3
370,2020,11,6,Friday,4
371,2020,10,23,Friday,4
372,2020,8,28,Friday,3
373,2017,9,8,Friday,4
374,2018,8,17,Friday,3
375,2020,9,11,Friday,4
376,2023,6,9,Friday,3
377,2023,10,27,Friday,4
378,2023,7,7,Friday,3
379,2023,4,7,Friday,2
380,2023,9,8,Friday,4
381,2018,5,11,Friday,2
382,2023,12,1,Friday,1
383,2023,8,4,Friday,3
384,2024,8,16,Friday,3
385,2024,10,25,Friday,4
386,2018,10,24,Wednesday,4
387,2020,1,10,Friday,1
388,2016,12,9,Friday,1
389,2020,10,7,Wednesday,4
390,2018,4,13,Friday,2
391,2017,6,9,Friday,3
392,2023,7,21,Friday,3
393,2021,12,3,Friday,1
394,2023,3,10,Friday,2
395,2023,5,26,Friday,2
396,2017,10,18,Wednesday,4
397,2017,3,16,Thursday,2
398,2018,4,20,Friday,2
399,2016,8,18,Thursday,3
400,2017,6,14,Wednesday,3
401,2021,1,8,Friday,1
402,2017,2,10,Friday,1
403,2021,1,22,Friday,1
404,2016,11,24,Thursday,4
405,2024,5,3,Friday,2
406,2019,6,20,Thursday,3
407,2016,10,3,Monday,4
408,2016,12,1,Thursday,1
409,2024,11,15,Friday,4
410,2016,5,13,Friday,2
411,2023,10,13,Friday,4
412,2018,11,23,Friday,4
413,2024,3,8,Friday,2
414,2015,12,18,Friday,1
415,2016,6,10,Friday,3
416,2021,4,16,Friday,2
417,2019,11,22,Friday,4
418,2023,4,20,Thursday,2
419,2021,6,18,Friday,3
420,2025,6,13,Friday,3
421,2022,5,13,Friday,2
422,2014,2,14,Friday,1
423,2013,2,26,Tuesday,1
424,2014,5,22,Thursday,2
425,2019,10,14,Monday,4
426,2015,7,15,Wednesday,3
427,2024,7,19,Friday,3
428,2017,8,30,Wednesday,3
429,2020,3,27,Friday,2
430,2021,1,19,Tuesday,1
431,2016,6,1,Wednesday,3
432,2021,3,9,Tuesday,2
433,2020,12,2,Wednesday,1
434,2020,3,19,Thursday,2
435,2019,1,22,Tuesday,1
436,2019,4,12,Friday,2
437,2018,8,14,Tuesday,3
438,2018,4,3,Tuesday,2
439,2017,11,29,Wednesday,4
440,2018,4,30,Monday,2
441,2017,9,6,Wednesday,4
442,2019,10,22,Tuesday,4
443,2023,11,29,Wednesday,4
444,2017,12,6,Wednesday,1
445,2017,3,15,Wednesday,2
446,2019,3,4,Monday,2
447,2022,7,22,Friday,3
448,2022,5,9,Monday,2
449,2024,11,29,Friday,4
450,2017,5,4,Thursday,2
451,2017,6,13,Tuesday,3
452,2017,7,10,Monday,3
453,2017,4,10,Monday,2
454,2023,5,8,Monday,2
455,2024,4,26,Friday,2
456,2017,4,20,Thursday,2
457,2017,7,4,Tuesday,3
458,2024,6,19,Wednesday,3
459,2024,4,12,Friday,2
460,2014,6,18,Wednesday,3
461,2017,5,29,Monday,2
462,2016,8,8,Monday,3
463,2016,9,27,Tuesday,4
464,2017,12,22,Friday,1
465,2016,7,11,Monday,3
466,2019,6,3,Monday,3
467,2017,11,14,Tuesday,4
468,2017,1,1,Sunday,1
469,2018,9,16,Sunday,4
470,2018,9,21,Friday,4
471,2018,9,28,Friday,4
472,2018,6,13,Wednesday,3
473,2016,5,11,Wednesday,2
474,2017,1,10,Tuesday,1
475,2019,5,10,Friday,2
476,2018,12,21,Friday,1
477,2017,5,1,Monday,2
478,2018,8,21,Tuesday,3
479,2021,1,29,Friday,1
480,2020,5,8,Friday,2
481,2017,3,7,Tuesday,2
482,2021,6,11,Friday,3
483,2021,10,15,Friday,4
484,2018,1,15,Monday,1
485,2024,1,12,Friday,1
486,2025,2,21,Friday,1
487,2021,7,28,Wednesday,3
488,2022,7,1,Friday,3
489,2024,4,3,Wednesday,2
490,2016,3,24,Thursday,2
491,2020,11,17,Tuesday,4
492,2023,4,24,Monday,2
493,2020,11,24,Tuesday,4
494,2023,4,4,Tuesday,2
495,2019,2,6,Wednesday,1
496,2022,2,2,Wednesday,1
497,2020,1,16,Thursday,1
498,2020,5,15,Friday,2
499,2021,2,3,Wednesday,1
500,2018,8,31,Friday,3
501,2019,2,22,Friday,1
502,2021,4,21,Wednesday,2
503,2023,11,3,Friday,4
504,2016,1,22,Friday,1
505,2017,7,14,Friday,3
506,2020,4,8,Wednesday,2
507,2020,10,9,Friday,4
508,2021,3,6,Saturday,2
509,2024,3,7,Thursday,2
510,2021,6,10,Thursday,3
511,2020,4,13,Monday,2
512,2021,4,20,Tuesday,2
513,2021,2,2,Tuesday,1
514,2015,3,27,Friday,2
515,1999,1,1,Friday,1
516,2020,10,30,Friday,4
517,2002,6,20,Thursday,3
518,2012,4,10,Tuesday,2
519,2007,1,26,Friday,1
520,2002,1,1,Tuesday,1
521,2020,10,29,Thursday,4
522,2012,3,19,Monday,2
523,2016,12,2,Friday,1
524,2017,10,6,Friday,4
525,2021,10,27,Wednesday,4
526,1998,1,1,Thursday,1
527,2012,1,1,Sunday,1
528,2015,4,14,Tuesday,2
529,2021,9,28,Tuesday,4
530,2018,7,20,Friday,3
531,2018,10,5,Friday,4
532,2018,12,12,Wednesday,1
533,2020,5,22,Friday,2
534,2019,1,11,Friday,1
535,2020,1,31,Friday,1
536,2022,12,23,Friday,1
537,2021,2,5,Friday,1
538,2023,2,16,Thursday,1
539,2024,1,26,Friday,1
540,2024,7,12,Friday,3
541,2022,10,24,Monday,4
542,2022,1,1,Saturday,1
543,2017,9,7,Thursday,4
544,2014,1,17,Friday,1
545,2019,12,4,Wednesday,1
546,2015,4,28,Tuesday,2
547,2017,3,10,Friday,2
548,2019,3,15,Friday,2
549,2017,3,3,Friday,2
550,2016,2,11,Thursday,1
551,2019,4,19,Friday,2
552,2013,5,3,Friday,2
553,2010,6,6,Sunday,3
554,2022,4,29,Friday,2
555,2011,12,19,Monday,1
556,2014,4,28,Monday,2
557,2017,2,7,Tuesday,1
558,2013,5,28,Tuesday,2
559,2015,1,7,Wednesday,1
560,2013,5,21,Tuesday,2
561,2006,4,29,Saturday,2
562,2015,7,27,Monday,3
563,2020,12,21,Monday,1
564,2015,1,1,Thursday,1
565,2013,1,1,Tuesday,1
566,2016,2,19,Friday,1
567,2011,1,1,Saturday,1
568,2013,9,3,Tuesday,4
569,2021,5,21,Friday,2
570,2015,5,28,Thursday,2
571,2019,10,21,Monday,4
572,2018,4,10,Tuesday,2
573,2006,8,9,Wednesday,3
574,2025,3,14,Friday,2
575,2018,11,2,Friday,4
576,2021,7,23,Friday,3
577,2014,1,1,Wednesday,1
578,2023,5,11,Thursday,2
579,2022,5,20,Friday,2
580,2017,6,16,Friday,3
581,2016,9,30,Friday,4
582,2007,5,18,Friday,2
583,2003,4,23,Wednesday,2
584,2010,10,5,Tuesday,4
585,2014,9,9,Tuesday,4
586,2009,6,5,Friday,3
587,2012,6,5,Tuesday,3
588,2006,3,15,Wednesday,2
589,2012,5,22,Tuesday,2
590,2014,7,30,Wednesday,3
591,2010,9,6,Monday,4
592,2010,10,3,Sunday,4
593,2010,7,8,Thursday,3
594,2014,6,2,Monday,3
595,2012,5,6,Sunday,2
596,2012,11,22,Thursday,4
597,2012,4,24,Tuesday,2
598,2009,5,5,Tuesday,2
599,2007,5,17,Thursday,2
600,2012,11,27,Tuesday,4
601,2004,4,23,Friday,2
602,2011,3,23,Wednesday,2
603,2013,7,24,Wednesday,3
604,2011,3,5,Saturday,2
605,2011,3,16,Wednesday,2
606,2011,3,9,Wednesday,2
607,1998,6,20,Saturday,3
608,2000,1,1,Saturday,1
609,1998,7,20,Monday,3
610,1995,7,7,Friday,3
611,2019,3,3,Sunday,2
612,2020,2,21,Friday,1
613,2019,8,2,Friday,3
614,2004,9,1,Wednesday,4
615,2010,7,27,Tuesday,3
616,2015,4,7,Tuesday,2
617,2022,3,18,Friday,2
618,2004,8,27,Friday,3
619,2014,3,24,Monday,2
620,2014,4,30,Wednesday,2
621,2002,2,10,Sunday,1
622,2010,9,7,Tuesday,4
623,2013,2,5,Tuesday,1
624,2006,5,26,Friday,2
625,2006,6,6,Tuesday,3
626,2002,2,1,Friday,1
627,2017,11,13,Monday,4
628,2006,12,1,Friday,1
629,2007,10,26,Friday,4
630,2007,11,9,Friday,4
631,2011,4,22,Friday,2
632,2019,10,25,Friday,4
633,2016,9,6,Tuesday,4
634,2016,5,26,Thursday,2
635,2012,12,12,Wednesday,1
636,2022,3,14,Monday,2
637,2017,11,17,Friday,4
638,2009,3,20,Friday,2
639,2017,6,23,Friday,3
640,2012,10,30,Tuesday,4
641,2009,4,10,Friday,2
642,2010,7,20,Tuesday,3
643,2016,6,13,Monday,3
644,2010,9,10,Friday,4
645,2013,2,2,Saturday,1
646,2011,3,18,Friday,2
647,2008,5,9,Friday,2
648,2007,10,5,Friday,4
649,2024,11,22,Friday,4
650,2013,3,29,Friday,2
651,2011,2,22,Tuesday,1
652,2010,1,1,Friday,1
653,2010,5,4,Tuesday,2
654,2013,2,22,Friday,1
655,2025,5,13,Tuesday,2
656,2017,12,17,Sunday,1
657,2018,5,28,Monday,2
658,2012,6,29,Friday,3
659,2006,2,1,Wednesday,1
660,2020,3,18,Wednesday,2
661,2006,9,16,Saturday,4
662,2013,1,25,Friday,1
663,2010,12,24,Friday,1
664,2020,1,14,Tuesday,1
665,2015,10,23,Friday,4
666,2011,12,17,Saturday,1
667,2013,9,27,Friday,4
668,2021,11,5,Friday,4
669,2014,2,17,Monday,1
670,2013,6,25,Tuesday,3
671,2019,4,18,Thursday,2
672,2019,3,29,Friday,2
673,2014,3,25,Tuesday,2
674,2017,11,21,Tuesday,4
675,2020,8,14,Friday,3
676,2014,11,4,Tuesday,4
677,2015,9,4,Friday,4
678,2017,10,9,Monday,4
679,2021,6,4,Friday,3
680,2020,6,3,Wednesday,3
681,2016,5,4,Wednesday,2
682,2025,4,25,Friday,2
683,2016,3,4,Friday,2
684,2021,9,24,Friday,4
685,2014,10,15,Wednesday,4
686,2021,11,1,Monday,4
687,2016,2,10,Wednesday,1
688,2015,10,9,Friday,4
689,2025,2,12,Wednesday,1
690,2013,3,23,Saturday,2
691,2023,9,28,Thursday,4
692,2024,7,26,Friday,3
693,2016,11,28,Monday,4
694,2012,9,4,Tuesday,4
695,2012,11,20,Tuesday,4
696,2022,12,30,Friday,1
697,2021,11,27,Saturday,4
698,2022,7,29,Friday,3
699,2007,1,1,Monday,1
700,2009,9,9,Wednesday,4
701,2005,1,27,Thursday,1
702,2014,3,19,Wednesday,2
703,2016,11,4,Friday,4
704,2008,7,28,Monday,3
705,2014,4,14,Monday,2
706,2014,4,8,Tuesday,2
707,2016,9,15,Thursday,4
708,2014,4,22,Tuesday,2
709,2012,2,29,Wednesday,1
710,2012,2,6,Monday,1
711,2022,12,2,Friday,1
712,2019,11,11,Monday,4
713,2022,11,11,Friday,4
714,2022,6,23,Thursday,3
715,2012,1,29,Sunday,1
716,2005,10,19,Wednesday,4
717,2021,1,15,Friday,1
718,2016,12,25,Sunday,1
719,2007,2,16,Friday,1
720,2023,7,5,Wednesday,3
721,2022,11,25,Friday,4
722,2021,10,8,Friday,4
723,2012,1,26,Thursday,1
724,2001,1,1,Monday,1
725,2021,11,12,Friday,4
726,2007,11,20,Tuesday,4
727,2011,4,16,Saturday,2
728,2012,11,9,Friday,4
729,2012,12,4,Tuesday,1
730,2009,7,18,Saturday,3
731,2013,11,5,Tuesday,4
732,2007,2,20,Tuesday,1
733,2014,2,13,Thursday,1
734,2024,6,7,Friday,3
735,2018,10,30,Tuesday,4
736,2012,7,31,Tuesday,3
737,2013,7,30,Tuesday,3
738,2021,3,23,Tuesday,2
739,2010,3,19,Friday,2
740,2018,7,25,Wednesday,3
741,2014,12,18,Thursday,1
742,2020,1,28,Tuesday,1
743,2019,11,28,Thursday,4
744,2020,6,1,Monday,3
745,2007,6,19,Tuesday,3
746,2017,6,8,Thursday,3
747,2020,9,18,Friday,4
748,2016,4,12,Tuesday,2
749,2013,10,15,Tuesday,4
750,2016,4,22,Friday,2
751,2025,1,27,Monday,1
752,2013,10,29,Tuesday,4
753,2016,3,8,Tuesday,2
754,2018,6,29,Friday,3
755,2016,3,18,Friday,2
756,2014,10,29,Wednesday,4
757,2015,10,29,Thursday,4
758,2016,4,1,Friday,2
759,2019,6,28,Friday,3
760,2018,11,16,Friday,4
761,2003,1,3,Friday,1
762,2017,10,19,Thursday,4
763,2020,3,11,Wednesday,2
764,2016,1,29,Friday,1
765,2018,1,16,Tuesday,1
766,2020,7,14,Tuesday,3
767,2022,10,28,Friday,4
768,2020,4,10,Friday,2
769,2019,12,6,Friday,1
770,2022,1,28,Friday,1
771,2022,5,6,Friday,2
772,2021,8,6,Friday,3
773,2021,11,19,Friday,4
774,2023,2,10,Friday,1
775,2018,1,24,Wednesday,1
776,2018,5,18,Friday,2
777,2018,3,23,Friday,2
778,2019,2,26,Tuesday,1
779,2023,6,16,Friday,3
780,2014,3,18,Tuesday,2
781,2015,9,10,Thursday,4
782,2012,9,28,Friday,4
783,2018,3,5,Monday,2
784,2017,8,6,Sunday,3
785,2015,12,24,Thursday,1
786,2012,8,28,Tuesday,3
787,2010,11,18,Thursday,4
788,2007,10,12,Friday,4
789,2011,2,10,Thursday,1
790,2016,2,27,Saturday,1
791,2011,11,24,Thursday,4
792,2024,7,10,Wednesday,3
793,2023,1,20,Friday,1
794,2021,7,2,Friday,3
795,2023,10,6,Friday,4
796,2023,1,11,Wednesday,1
797,2018,9,4,Tuesday,4
798,2016,10,11,Tuesday,4
799,2020,5,1,Friday,2
800,2024,8,29,Thursday,3
801,2016,7,19,Tuesday,3
802,2018,11,27,Tuesday,4
803,2017,7,28,Friday,3
804,2023,2,20,Monday,1
805,2020,4,25,Saturday,2
806,2019,7,26,Friday,3
807,2019,11,27,Wednesday,4
